"","chunk_vid_id","chunk_vid_duration","chunk_vid_dimention","chunk_vid_definition","chunk_vid_caption","chunk_vid_licensedContent","chunk_vid_projection"
"71","0aYWB3d7bJ8","PT1H36M17S","2d","hd",TRUE,TRUE,"rectangular"
"72","k3kgQrU5-p0","PT18M53S","2d","hd",TRUE,TRUE,"rectangular"
"73","6p-QzY5bxJ0","PT6M18S","2d","hd",TRUE,TRUE,"rectangular"
"74","kRoCPSDCvts","PT1H58M5S","2d","hd",FALSE,TRUE,"rectangular"
"75","kpQlAGiyg3A","PT6M6S","2d","hd",TRUE,TRUE,"rectangular"
"76","AE8tATPge7o","PT13M44S","2d","hd",FALSE,TRUE,"rectangular"
"77","zxuvr9tN924","PT1H13M16S","2d","hd",FALSE,TRUE,"rectangular"
"78","dKBThyjj0J0","PT1M10S","2d","hd",TRUE,TRUE,"rectangular"
"79","pQgPR2V6924","PT47M56S","2d","hd",FALSE,TRUE,"rectangular"
"80","Yo84eqYwP98","PT59M1S","2d","hd",FALSE,TRUE,"rectangular"
"81","QDkLaDDJhG8","PT23M44S","2d","hd",TRUE,TRUE,"rectangular"
"82","YW-EAR8N7y8","PT3M6S","2d","hd",FALSE,TRUE,"rectangular"
"83","zCt_jjE_7O8","PT1H59M54S","2d","hd",TRUE,TRUE,"rectangular"
"84","kOnQocd799Y","PT15M24S","2d","hd",FALSE,TRUE,"rectangular"
"85","gHZ1Qz0KiKM","PT13M53S","2d","hd",TRUE,TRUE,"rectangular"
"86","QUUOLFAbJ6A","PT25S","2d","sd",FALSE,FALSE,"rectangular"
"87","K6EZV-_Up34","PT7M41S","2d","hd",FALSE,FALSE,"rectangular"
"88","1KHCqtTC0EQ","PT1M51S","2d","hd",FALSE,TRUE,"rectangular"
"89","j1yVXcJxmSA","PT3M14S","2d","hd",TRUE,TRUE,"rectangular"
"90","eDwaOTkIDGQ","PT3M9S","2d","hd",FALSE,TRUE,"rectangular"
"91","O_adY_b-aLQ","PT9M3S","2d","hd",FALSE,TRUE,"rectangular"
"92","ocZqvs7gUzc","PT4M19S","2d","hd",FALSE,TRUE,"rectangular"
"93","lT47mzF3QVM","PT2M58S","2d","sd",FALSE,FALSE,"rectangular"
"94","8ORvJcpe2Oc","PT3M48S","2d","hd",FALSE,TRUE,"rectangular"
"95","F6HTw5DU670","PT13M39S","2d","hd",TRUE,TRUE,"rectangular"
"96","ujyTQNNjjDU","PT4M21S","2d","hd",FALSE,TRUE,"rectangular"
"97","lnFaRuWOLN0","PT4M33S","2d","hd",FALSE,TRUE,"rectangular"
"98","ecCjoMFSIZA","PT7M34S","2d","hd",FALSE,TRUE,"rectangular"
"99","HRlh-U718I0","PT10M26S","2d","hd",FALSE,TRUE,"rectangular"
"100","pVu4zRW5eso","PT17M3S","2d","hd",TRUE,TRUE,"rectangular"
"101","JdHovvb0KD4","PT5M20S","2d","hd",FALSE,TRUE,"rectangular"
"102","QEBTK5_dRZ0","PT5M56S","2d","hd",TRUE,TRUE,"rectangular"
"103","O-_52G3aKVU","PT29S","2d","hd",FALSE,FALSE,"rectangular"
"104","4ILpUbtNw8I","PT10M44S","2d","hd",FALSE,TRUE,"rectangular"
"105","1kuJkA9usqg","PT20M9S","2d","hd",FALSE,TRUE,"rectangular"
"106","p2hJxyF7mok","PT1M13S","2d","hd",FALSE,FALSE,"rectangular"
"107","wiXhcwpMU1I","PT5M13S","2d","hd",FALSE,TRUE,"rectangular"
"108","v0Gku2iX2rY","PT48M17S","2d","hd",FALSE,FALSE,"rectangular"
"109","B5HORANmzHw","PT5M18S","2d","hd",TRUE,TRUE,"rectangular"
"110","woJJNz1ZAV0","PT22M18S","2d","hd",FALSE,FALSE,"rectangular"
"111","8tbQHHso0oY","PT33S","2d","hd",FALSE,TRUE,"rectangular"
"112","w5qMOyPuUqU","PT20M25S","2d","hd",FALSE,TRUE,"rectangular"
"113","NVCqz2BDfcQ","PT2M42S","2d","hd",FALSE,TRUE,"rectangular"
"114","TpIqNpWtKEU","PT13M27S","2d","hd",TRUE,TRUE,"rectangular"
"115","o4qUbIZn538","PT2M9S","2d","hd",FALSE,TRUE,"rectangular"
"116","ceqntSXE-10","PT10M49S","2d","hd",FALSE,TRUE,"rectangular"
"117","skhu76iBvtU","PT10M54S","2d","hd",FALSE,TRUE,"rectangular"
"118","qntHpRYIJOM","PT12M17S","2d","hd",TRUE,TRUE,"rectangular"
"119","QldBP574S4I","PT3M54S","2d","hd",FALSE,FALSE,"rectangular"
"120","mXHAHcVfQIs","PT20M44S","2d","hd",FALSE,TRUE,"rectangular"
"121","LUGgIynLlPg","PT5M23S","2d","hd",FALSE,TRUE,"rectangular"
"122","o-y6Q0bANm4","PT3M1S","2d","hd",FALSE,FALSE,"rectangular"
"123","pkIr5FaNGhU","PT16M28S","2d","hd",FALSE,TRUE,"rectangular"
"124","3t2jdkDBfPc","PT4M41S","2d","hd",FALSE,TRUE,"rectangular"
"125","2AkE49hZfr4","PT11M38S","2d","hd",TRUE,TRUE,"rectangular"
"126","pw3iSkTRJWw","PT21M3S","2d","hd",FALSE,TRUE,"rectangular"
"127","bsgocWaULIU","PT2M39S","2d","hd",FALSE,TRUE,"rectangular"
"128","j9nCXKlZaSM","PT32M33S","2d","hd",FALSE,FALSE,"rectangular"
"129","0PpNlNJ6Nng","PT13M48S","2d","hd",FALSE,TRUE,"rectangular"
"130","OA0vhAKUD0g","PT45S","2d","sd",FALSE,FALSE,"rectangular"
"131","VDMOFa8iRqo","PT9M1S","2d","hd",TRUE,FALSE,"rectangular"
"132","L-ixmHzXl3w","PT6M54S","2d","hd",FALSE,TRUE,"rectangular"
"133","9_8mXKCBtm0","PT19M57S","2d","hd",FALSE,TRUE,"rectangular"
"134","5f-DW6Oq2cU","PT4M44S","2d","hd",FALSE,TRUE,"rectangular"
"135","AuAc1Vhdxz0","PT40M53S","2d","hd",FALSE,TRUE,"rectangular"
"136","jGEJgk_2UM8","PT16M9S","2d","hd",FALSE,TRUE,"rectangular"
"137","H8IWLEtFt9A","PT2H45M54S","2d","hd",FALSE,TRUE,"rectangular"
"138","TZ2mEuBweWY","PT2M43S","2d","hd",FALSE,TRUE,"rectangular"
"139","H5ZoBYWFxr4","PT10M5S","2d","hd",FALSE,TRUE,"rectangular"
"140","GVtgu_b7svA","PT59S","2d","hd",FALSE,TRUE,"rectangular"
"141","JKrqaPn-ulk","PT8M28S","2d","hd",FALSE,FALSE,"rectangular"
"142","VvlBSgUrNSQ","PT8M43S","2d","hd",FALSE,TRUE,"rectangular"
"143","QbBNjjZthsg","PT7M24S","2d","hd",TRUE,TRUE,"rectangular"
"144","5u-nn4Bb4f0","PT4M7S","2d","hd",FALSE,TRUE,"rectangular"
"145","GgVmn66oK_A","PT4M29S","2d","hd",TRUE,TRUE,"rectangular"
"146","LuOaMDzyaXE","PT5M","2d","hd",FALSE,TRUE,"rectangular"
"147","9bLSykjNLGY","PT8M46S","2d","hd",FALSE,TRUE,"rectangular"
"148","qLxfqXRHup0","PT14M52S","2d","hd",FALSE,TRUE,"rectangular"
"149","ulduUfiTV7M","PT45M11S","2d","hd",FALSE,TRUE,"rectangular"
"150","YYOCmR5Lvbw","PT6M24S","2d","hd",FALSE,TRUE,"rectangular"
"151","4du1KXBl4YU","PT10M59S","2d","hd",FALSE,TRUE,"rectangular"
"152","1f-94EP6Nk8","PT10M6S","2d","hd",TRUE,TRUE,"rectangular"
"153","ySJZJ-glsjM","PT12M21S","2d","hd",FALSE,TRUE,"rectangular"
"154","I2qScVQxjpo","PT15M45S","2d","hd",TRUE,TRUE,"rectangular"
"155","F9ryLRmaBEM","PT3M40S","2d","hd",FALSE,FALSE,"rectangular"
"156","IF4Cbb_82l0","PT2H24M28S","2d","hd",FALSE,TRUE,"rectangular"
"157","ItYOdWRo0JY","PT10M55S","2d","hd",TRUE,TRUE,"rectangular"
"158","gjXrm2Q-te4","PT1M16S","2d","hd",TRUE,TRUE,"rectangular"
"159","VsYmwBOYfW8","PT4M27S","2d","hd",TRUE,TRUE,"rectangular"
"160","kgaO45SyaO4","PT25S","2d","hd",FALSE,TRUE,"rectangular"
"161","YvfYK0EEhK4","PT2M18S","2d","hd",TRUE,FALSE,"rectangular"
"162","5530I_pYjbo","PT5M51S","2d","hd",TRUE,TRUE,"rectangular"
"163","0hKHdzTMAcI","PT31S","2d","hd",FALSE,TRUE,"rectangular"
"164","bAkEd8r7Nnw","PT10M28S","2d","hd",TRUE,TRUE,"rectangular"
"165","Ax1P5Q8Kr9g","PT18M50S","2d","hd",FALSE,TRUE,"rectangular"
"166","LXDAu8DnALw","PT6M56S","2d","hd",TRUE,TRUE,"rectangular"
"167","ve3oQBjcAGI","PT15M16S","2d","hd",FALSE,TRUE,"rectangular"
"168","WKMOuDoVxFw","PT46M28S","2d","hd",FALSE,TRUE,"rectangular"
"169","seGgZp-XYdM","PT1M54S","2d","hd",FALSE,TRUE,"rectangular"
"170","hbhbu_Kf424","PT4M40S","2d","hd",TRUE,TRUE,"rectangular"
"171","b-ShNqtj8Yw","PT5M4S","2d","hd",TRUE,TRUE,"rectangular"
"172","cxMvzK2OQTw","PT2M43S","2d","hd",FALSE,FALSE,"rectangular"
"173","rBpMYATttsI","PT8M58S","2d","hd",FALSE,TRUE,"rectangular"
"174","AT_XoYrpcDU","PT2M58S","2d","hd",FALSE,TRUE,"rectangular"
"175","lSozbwZmq74","PT16M30S","2d","hd",FALSE,TRUE,"rectangular"
"176","6fv7CqCjiJw","PT12M34S","2d","hd",TRUE,TRUE,"rectangular"
"177","1SiKopOt-QM","PT15M21S","2d","hd",FALSE,TRUE,"rectangular"
"178","HnCU20Cu0fs","PT43S","2d","hd",FALSE,FALSE,"rectangular"
"179","9SK1I0V6U5c","PT5M58S","2d","hd",TRUE,TRUE,"rectangular"
"180","CtBca6H6Teg","PT5M4S","2d","hd",TRUE,TRUE,"rectangular"
"181","GTNHqpL0N2g","PT4M10S","2d","hd",FALSE,TRUE,"rectangular"
"182","Y9nDagqKL7Q","PT17S","2d","hd",FALSE,TRUE,"rectangular"
"183","w9jjpn6W2to","PT17M16S","2d","hd",FALSE,FALSE,"rectangular"
"184","wDEA3rpYHnI","PT2M12S","2d","sd",FALSE,FALSE,"rectangular"
"185","UWOAuTP27eo","PT10M4S","2d","hd",TRUE,TRUE,"rectangular"
"186","DbJ2s_g1oDc","PT10M51S","2d","hd",TRUE,TRUE,"rectangular"
"187","xdHmuy1RqCg","PT1M9S","2d","hd",TRUE,TRUE,"rectangular"
"188","oP-6Z1RlaIc","PT4M2S","2d","hd",FALSE,TRUE,"rectangular"
"189","0UJ54iT4yIU","PT7M42S","2d","hd",TRUE,TRUE,"rectangular"
"190","AGVW9Z4RcUc","PT3M51S","2d","hd",TRUE,TRUE,"rectangular"
"191","vIVaLtJmyPs","PT13M13S","2d","hd",FALSE,TRUE,"rectangular"
"192","pcWKpGzhgq4","PT2M41S","2d","hd",FALSE,TRUE,"rectangular"
"193","cTRJYA6dibU","PT3M40S","2d","hd",FALSE,TRUE,"rectangular"
"194","a8G-vVFKm4M","PT21M31S","2d","hd",FALSE,TRUE,"rectangular"
"195","YTiYQwk7Bw0","PT9M2S","2d","hd",FALSE,TRUE,"rectangular"
"196","WzQrvFAPoII","PT21M27S","2d","hd",FALSE,TRUE,"rectangular"
"197","v5e4gwDGrNk","PT9M11S","2d","hd",TRUE,TRUE,"rectangular"
"198","AlrbKKGIcjI","PT20M17S","2d","hd",FALSE,TRUE,"rectangular"
"199","Z7Q_FBRgqq0","PT5M7S","2d","hd",FALSE,TRUE,"rectangular"
"200","l4bAoNAx2uo","PT6M32S","2d","hd",TRUE,TRUE,"rectangular"
"201","oGSNSLD8rcw","PT21S","2d","hd",TRUE,FALSE,"rectangular"
"202","8oHAKlhOeZQ","PT33M58S","2d","hd",FALSE,TRUE,"rectangular"
"203","bO7Qwgs4IFU","PT14M45S","2d","hd",TRUE,TRUE,"rectangular"
"204","sbIED1w1WuQ","PT7M52S","2d","hd",TRUE,TRUE,"rectangular"
"205","W2om14p_xfw","PT3M34S","2d","hd",FALSE,TRUE,"rectangular"
